state,current_governor,guber_party,year_in,legislature_party_05_29,source,,
Abia,Okezie Ikpeazu,PDP,2015,PDP,,,
Adamawa,Jibrilla Bindow,APC,2015,APC,,,
Akwa-Ibom,Udom Gabriel Emmanuel,PDP,2015,PDP,,,
Anambra,Willie Obiano,APGA,2010,APGA,,,
Bauchi,Mohammed Abdullahi Abubakar,APC,2015,APC,,,
Bayelsa,Henry Dickson,PDP,2011,PDP,,,
Benue,Samuel Ortom,APC,2015,PDP,http://www.premiumtimesng.com/regional/north-central/181391-ortom-of-apc-ends-pdps-16-year-rule-in-benue.html,,
Borno,Kashim Shettima,APC,2011,APC,,,
Cross-River,Benedict Ayade,PDP,2015,PDP,,,
Delta,Ifeanyi Okowa,PDP,2015,PDP,,,
Ebonyi,Dave Umahi,PDP,2015,PDP,,,
Edo,Adams Oshiomhole,APC,2008,APC,,,
Ekiti,Ayo Fayose,PDP,2014,PDP,,,
Enugu,Ifeanyi Ugwuanyi,PDP,2015,PDP,,,
Gombe,Ibrahim Hassan Dankwambo,PDP,2011,PDP,,,
Imo,Owelle Rochas Okorocha,APC,2011,APC,,,
Jigawa,Badaru Abubakar,APC,2015,APC,,,
Kaduna,Nasir Ahmad el-Rufai,APC,2015,APC,,,
Kano,Abdullahi Umar Ganduje,APC,2015,APC,,,
Katsina,Aminu Bello Masari,APC,2015,APC,,,
Kebbi,Abubakar Atiku Bagudu,APC,2015,APC,,,
Kogi,Yahaya Bello,APC,2016,PDP,http://www.thisdaylive.com/index.php/2016/02/27/kogi-lawmakers-finger-governor-yahaya-bello-in-assembly-crisis/,,
Kwara,Abdulfatah Ahmed,APC,2011,APC,,,
Lagos,Akinwunmi Ambode,APC,2015,APC,http://www.premiumtimesng.com/news/more-news/184537-mudashiru-obasa-elected-speaker-of-lagos-house-of-assembly.html,,
Nasarawa,Umaru Tanko Al-Makura,APC,2011,APC,https://www.naij.com/420826-official-results-of-state-house-of-assembly-election-2015.html,,
Niger,Abubakar Sani Bello,APC,2015,APC,http://dailypost.ng/2015/06/09/marafa-emerges-speaker-of-niger-state-house-of-assembly/,,
Ogun,Ibikunle Oyelaja Amosun,APC,2011,APC,http://www.premiumtimesng.com/regional/ssouth-west/182390-full-list-of-ogun-house-of-assembly-members.html,,
Ondo,Olusegun Mimiko,PDP,2009,PDP,http://www.vanguardngr.com/2015/04/list-of-winners-of-ondo-house-of-assembly-election/,,
Osun,Rauf Aregbesola,APC,2010,APC,http://ooduarere.com/news-from-nigeria/local-news/osundecides-namesparties-of-winners-in-osun-state-house-of-assembly-election/,,
Oyo,Isiaka Abiola Ajimobi,APC,2011,APC,http://www.premiumtimesng.com/regional/ssouth-west/181388-apc-wins-18-majority-%E2%80%8Bseats-in-oyo-assembly.html,,
Plateau,Simon Lalong,APC,2015,APC,http://www.jotscroll.com/forums/1/posts/408/list-of-plateau-state-house-of-assembly-members-and-their-constituencies-2015.html,http://thestreetjournal.org/2015/11/apc-assumes-majority-leadership-in-plateau-state-house-of-assembly/,http://www.premiumtimesng.com/regional/north-central/198791-apc-wins-re-run-elections-plateau.html
Rivers,Ezenwo Nyesom Wike,PDP,2015,PDP,https://en.wikipedia.org/wiki/8th_Rivers_State_House_of_Assembly,,
Sokoto,Aminu Waziri Tambuwal,APC,2015,APC,http://www.news24.com.ng/Elections/News/APC-sweeps-30-house-of-assembly-seats-in-Sokoto-State-20150413,,
Taraba,Mr. Darius Ishaku,PDP,2015,PDP,http://leadership.ng/news/496909/taraba-tension-brews-speakers-seat,,
Yobe,Ibrahim Geidam,APC,2011,APC,http://guardian.ng/news/dogo-retains-speakership-of-yobe-assembly/,,
Zamfara,Abdul-Aziz Yari Abubakar,APC,2011,APC,http://desertherald.com/who-is-arm-twisting-zamfara-assembly/,,
Federal Capital Territory,Muhammad Musa Bello,APC,2015,nil,,,
